Length,Enthalpy,Entropy,Gibbs_Free_Energy_37C
1,0,0,0
2,0,0,0
3,1.3e+03,-1.32e+01,5.4e+03
4,4.8e+03,-2.6e+00,5.6e+03
5,3.6e+03,-6.8e+00,5.7e+03
6,-2.9e+03,-2.68e+01,5.4e+03
7,1.3e+03,-1.52e+01,6.0e+03
8,-2.9e+03,-2.71e+01,5.5e+03
9,5.0e+03,-4.5e+00,6.4e+03
10,5.0e+03,-4.8e+00,6.5e+03
11,5.0e+03,-5.2e+00,6.6e+03
12,5.0e+03,-5.5e+00,6.7e+03
13,5.0e+03,-5.8e+00,6.8e+03
14,5.0e+03,-6.1e+00,6.9e+03
15,5.0e+03,-6.1e+00,6.9e+03
16,5.0e+03,-6.4e+00,7.0e+03
17,5.0e+03,-6.8e+00,7.1e+03
18,5.0e+03,-6.8e+00,7.1e+03
19,5.0e+03,-7.1e+00,7.2e+03
20,5.0e+03,-7.1e+00,7.2e+03
21,5.0e+03,-7.4e+00,7.3e+03
22,5.0e+03,-7.4e+00,7.3e+03
23,5.0e+03,-7.7e+00,7.4e+03
24,5.0e+03,-7.7e+00,7.4e+03
25,5.0e+03,-8.1e+00,7.5e+03
26,5.0e+03,-8.1e+00,7.5e+03
27,5.0e+03,-8.1e+00,7.5e+03
28,5.0e+03,-8.4e+00,7.6e+03
29,5.0e+03,-8.4e+00,7.6e+03
30,5.0e+03,-8.7e+00,7.7e+03
