Length,Enthalpy,Entropy,Gibbs_Free_Energy_37C
1,0,0,0
2,0,0,0
3,0,0,0
4,-7.2e+03,-2.68e+01,1.1e+03
5,-6.8e+03,-2.84e+01,2.0e+03
6,-1.3e+03,-1.06e+01,2.0e+03
7,-1.3e+03,-1.10e+01,2.1e+03
8,-1.3e+03,-1.16e+01,2.3e+03
9,-1.3e+03,-1.19e+01,2.4e+03
10,-1.3e+03,-1.22e+01,2.5e+03
11,-1.3e+03,-1.25e+01,2.6e+03
12,-1.3e+03,-1.29e+01,2.7e+03
13,-1.3e+03,-1.32e+01,2.8e+03
14,-1.3e+03,-1.35e+01,2.9e+03
15,-1.3e+03,-1.35e+01,2.9e+03
16,-1.3e+03,-1.39e+01,3.0e+03
17,-1.3e+03,-1.42e+01,3.1e+03
18,-1.3e+03,-1.42e+01,3.1e+03
19,-1.3e+03,-1.45e+01,3.2e+03
20,-1.3e+03,-1.48e+01,3.3e+03
21,-1.3e+03,-1.48e+01,3.3e+03
22,-1.3e+03,-1.52e+01,3.4e+03
23,-1.3e+03,-1.52e+01,3.4e+03
24,-1.3e+03,-1.55e+01,3.5e+03
25,-1.3e+03,-1.55e+01,3.5e+03
26,-1.3e+03,-1.55e+01,3.5e+03
27,-1.3e+03,-1.58e+01,3.6e+03
28,-1.3e+03,-1.58e+01,3.6e+03
29,-1.3e+03,-1.61e+01,3.7e+03
30,-1.3e+03,-1.61e+01,3.7e+03
